series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
International Business Machine - IBM US 12_19_25 C150 Equity Equity,2025-08-12T00:00:00.000000,85.98,1.0,,,,,,,,,,0.0,0.0,0.0,,,
International Business Machine - IBM US 12_19_25 C150 Equity Equity,2025-08-13T00:00:00.000000,90.5,1.0,0.051235139637745064,0.051235139637745064,,,,,,,,0.3605698005697917,0.07211396011395835,0.2884558404558334,,,
