series,date,adj_close,volume,ret,ret_w,ret_vol_scaled,ret_vol_scaled_w,vol_20,vol_60,rv_20_annual,rv_60_annual,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-09T00:00:00.000000,847.8,,,,,,,,,,,0.0,0.0,0.0,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-10T00:00:00.000000,831.9,,-0.01893251762869408,-0.01893251762869408,,,,,,,,-1.268376068376142,-0.25367521367522844,-1.0147008547009135,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-11T00:00:00.000000,829.5,,-0.002889131659342681,-0.002889131659342681,,,,,,,,-2.4391165656122666,-0.6907634840626361,-1.7483530815496304,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-14T00:00:00.000000,828.1,,-0.001689189590845075,-0.001689189590845075,,,,,,,,-3.440248105434307,-1.2406604083369703,-2.1995876970973365,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-15T00:00:00.000000,835.8,,0.009255429974160734,0.009255429974160734,,,,,,,,-3.571160302099088,-1.706760387089394,-1.864399915009694,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-16T00:00:00.000000,850.1,,0.016964639609497567,0.016964639609497567,,,,,,,,-2.4922891137069882,-1.8638661324129129,-0.6284229812940754,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-17T00:00:00.000000,848.9,,-0.0014125958793904658,-0.0014125958793904658,,,,,,,,-1.7143440046966134,-1.833961706869653,0.11961770217303958,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-18T00:00:00.000000,875.5,,0.03085375798198431,0.03085375798198431,,,,,,,,1.0366311548380054,-1.2598431345281214,2.2964742893661265,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-21T00:00:00.000000,845.9,,-0.034394002415937486,-0.034394002415937486,,,,,,,,0.8188865515692214,-0.8440971973086528,1.6629837488778743,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-22T00:00:00.000000,831.8,,-0.016809122001157917,-0.016809122001157917,,,,,,,,-0.48582943733447337,-0.772443645313817,0.28661420797934367,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-23T00:00:00.000000,820.1,,-0.01416574326644593,-0.01416574326644593,,,,,,,,-2.4358396344830453,-1.1051228431476627,-1.3307167913353826,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-24T00:00:00.000000,923.4,,0.1186362260305236,0.1186362260305236,,,,,,,,4.304589295209439,-0.02318041547624239,4.327769710685682,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-25T00:00:00.000000,916.3,,-0.00771868810172105,-0.00771868810172105,,,,,,,,8.97011521681793,1.7754787109825922,7.194636505835338,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-28T00:00:00.000000,906.5,,-0.010752791776262427,-0.010752791776262427,,,,,,,64.24636335779567,11.74145187657598,3.76867334410127,7.97277853247471,,,
S&P500 EMINI OPTN Dec25P  4500 - ESZ5P 4500 Index Index,2021-06-29T00:00:00.000000,790.5,,-0.13692537354537837,-0.13692537354537837,,,,,,,38.23544071999859,4.525360064402662,3.920010688161548,0.6053493762411137,,,
